Pressure,Diameter
14.6952,114.966,
19.0204,118.574,
20.7459,120.292,
25.9424,124.245,
28.1122,125.622,
29.8579,126.140,
32.0883,123.919,
36.0817,121.188,
37.8648,119.479,
41.0272,114.005,
43.7914,106.132,
45.6380,100.655,
48.3705,94.6658,
49.3313,89.7002,
55.5926,82.5211,
61.3633,78.4244,
78.1562,70.9298,
94.4586,66.5175,
114.252,63.1421,
129.631,61.4685,
151.566,61.1822,
164.276,61.7288,
177.846,63.3055,
189.662,64.8777,
197.103,65.7534,
