Pressure,Perfusion
15.2941,0.0703812,
18.5294,0.153959,
22.6471,0.281525,
27.3529,0.404692,
31.7647,0.549853,
34.7059,0.633431,
38.5294,0.734604,
42.3529,0.857771,
45.8824,0.963343,
52.3529,1.15249,
55.5882,1.25806,
61.4706,1.42962,
66.1765,1.56598,
72.3529,1.75953,
79.1176,1.96188,
83.2353,2.08065,
91.7647,2.33578,
96.7647,2.49413,
101.765,2.63930,
106.176,2.78006,
109.706,2.89443,
